frame,track_id,x1,y1,x2,y2,confidence
2778,1,198.55889892578125,203.77523803710938,263.40460205078125,240.75521850585938,0.46832382678985596
2779,1,204.8292236328125,201.60948181152344,270.416259765625,236.6439971923828,0.34593915939331055
2780,1,211.17105102539062,200.6719207763672,272.2425842285156,235.17149353027344,0.44483116269111633
2781,1,217.10598754882812,199.7183380126953,277.6681823730469,233.5594024658203,0.6904710531234741
2782,1,222.85348510742188,198.63641357421875,280.8227233886719,232.04949951171875,0.7333560585975647
2783,1,228.24798583984375,197.58709716796875,283.95928955078125,230.15142822265625,0.588302493095398
2784,1,233.16818237304688,195.82044982910156,287.7217102050781,227.89723205566406,0.41702449321746826
2785,1,237.391845703125,194.27085876464844,290.761474609375,226.7854766845703,0.44283199310302734
2786,1,243.0897674560547,193.0367889404297,294.57989501953125,225.4509735107422,0.6151068210601807
2787,1,247.32064819335938,192.1448211669922,297.0232849121094,224.0891876220703,0.6563042998313904
2789,1,255.4867401123047,190.6650390625,301.05096435546875,219.86712646484375,0.49434781074523926
2790,1,259.059814453125,188.87881469726562,303.4979248046875,218.06939697265625,0.6329376697540283
2791,1,262.26141357421875,188.39532470703125,304.66424560546875,217.56893920898438,0.25852829217910767
2792,1,264.48486328125,186.99545288085938,306.82244873046875,216.80349731445312,0.5566946864128113
2793,1,267.2003173828125,185.47564697265625,307.5533447265625,215.24087524414062,0.3890320658683777
2794,1,269.3804931640625,184.37210083007812,308.120361328125,211.73684692382812,0.3368237316608429
2816,2,248.81951904296875,164.0524444580078,288.37127685546875,188.1222381591797,0.42617765069007874
2819,3,237.5511474609375,206.65048217773438,297.692138671875,237.86367797851562,0.5457239151000977
2836,2,243.23216247558594,163.415771484375,286.230224609375,187.42730712890625,0.2835666835308075
2845,4,204.4423828125,157.12689208984375,247.3187255859375,178.7449951171875,0.5161436796188354
2846,4,200.6658935546875,156.91268920898438,242.96063232421875,178.6795654296875,0.5126906633377075
2847,4,196.589111328125,155.04867553710938,238.55352783203125,178.09347534179688,0.3383384048938751
2848,4,192.7894287109375,155.335205078125,233.291015625,176.915771484375,0.2572709619998932
2875,5,190.600830078125,208.0987548828125,262.2338562011719,245.07150268554688,0.5597706437110901
2875,6,265.1310119628906,183.93972778320312,306.9518127441406,213.08407592773438,0.45249101519584656
2875,7,264.64306640625,183.58401489257812,306.53045654296875,212.22116088867188,0.4119967520236969
2876,5,199.85610961914062,207.12869262695312,269.90411376953125,243.14102172851562,0.6406888961791992
2876,7,267.83050537109375,184.10943603515625,308.08477783203125,212.129150390625,0.5684674978256226
2877,5,206.71139526367188,206.51187133789062,276.4783630371094,241.17581176757812,0.6510579586029053
2877,7,271.1744384765625,182.86495971679688,310.29376220703125,210.33963012695312,0.47282934188842773
2878,5,215.24801635742188,205.149658203125,282.9956970214844,240.8724365234375,0.5671023726463318
2878,7,273.1809997558594,182.33709716796875,312.0048522949219,209.77435302734375,0.49686986207962036
2878,8,175.93417358398438,127.41970825195312,202.46640014648438,148.43161010742188,0.4608897864818573
2879,5,222.4385986328125,204.86264038085938,289.155029296875,239.97506713867188,0.5262426733970642
2879,8,176.901123046875,127.2880859375,205.87799072265625,147.82647705078125,0.4596101641654968
2879,7,275.2913818359375,181.46218872070312,314.082275390625,207.20883178710938,0.27775248885154724
2880,8,180.1678466796875,127.055908203125,207.68328857421875,146.22344970703125,0.3738085627555847
2880,5,230.0318603515625,203.75140380859375,292.91644287109375,237.9412841796875,0.36116406321525574
2880,7,277.64111328125,180.2984161376953,315.6265869140625,207.7321014404297,0.3050529956817627
2881,8,182.3859100341797,126.47027587890625,209.03358459472656,146.18170166015625,0.4458617866039276
2882,8,184.7318115234375,125.97439575195312,211.90283203125,145.95700073242188,0.4169757068157196
